id,scientificName,names_wo_author
594666,Ouratea olivaeformis (A.St.-Hil.) Engl.,Ouratea olivaeformis
594692,Bombax endecaphyllum Vell.,Bombax endecaphyllum
594706,Rhipsalis squamulosa K.Schum.,Rhipsalis squamulosa
594815,Bauhinia angulicaulis Harms,Bauhinia angulicaulis
594818,Artanthe diospyrifolia (Kunth) Miq.,Artanthe diospyrifolia
594844,Salacia paniculata (Mart.) G. Don,Salacia paniculata
594864,Ardisia hostmanni Miquel,Ardisia hostmanni
594866,Voyria tenuiflora Griseb.,Voyria tenuiflora
594901,Cabralea eichleriana C.DC.,Cabralea eichleriana
594902,Pilea uncidens Wedd.,Pilea uncidens
594906,Ardisia schomburgkiana (A. DC.) Miq.,Ardisia schomburgkiana
594946,Castelnavia fruticulosa Tul.& Wedd.,Castelnavia fruticulosa
594947,Aciotis pendulifolia Triana,Aciotis pendulifolia
594982,Artanthe schottii Miq.,Artanthe schottii
594988,Celastrus rhombifolius Hook. & Arn.,Celastrus rhombifolius
594989,Combretum aurantiacum Benth.,Combretum aurantiacum
595110,Passiflora corumbaensis Barb.Rodr.,Passiflora corumbaensis
595115,Mimosa aparadensis Burkart,Mimosa aparadensis
595118,Salacia brachypoda (Miers) Peyr.,Salacia brachypoda
595136,Trichomanes guianense Sturm,Trichomanes guianense
595159,Xylosma tweedianum  (Clos) Eichler,Xylosma tweedianum
595193,Ardisia adenanthera Miquel,Ardisia adenanthera
595199,Cleome polygama L.,Cleome polygama
595202,Solanum thomasiaefolium Sendtn.,Solanum thomasiaefolium
595206,Cereus olfersii Salm-Dyck,Cereus olfersii
595292,Eugenia adstringens Cambess.,Eugenia adstringens
595293,Celtis aculeata  Sw.,Celtis aculeata
595308,Maytenus aquifolium Mart.,Maytenus aquifolium
595402,Rhipsalis monacantha Griseb.,Rhipsalis monacantha
595404,Ouratea polyantha (Triana & Planch.) Engl.,Ouratea polyantha
595406,Dipteracanthus affinis Nees,Dipteracanthus affinis
595407,Calathea wioti (E. Morren) Regel,Calathea wioti
595452,Cleome glandulosa Ruiz & Pav. ex DC.,Cleome glandulosa
595455,Didymopanax angustissimum Marchal,Didymopanax angustissimum
595458,Norantea peduncularis Poepp. ex Wittm.,Norantea peduncularis
595461,Datura guayaquilensis Kunth,Datura guayaquilensis
595462,Rhaphidostegium panduraefolium Broth.,Rhaphidostegium panduraefolium
595465,Cabralea pallescens C.DC.,Cabralea pallescens
595468,Trianosperma triangularis Cogn.,Trianosperma triangularis
595480,Psychotria beskeana (Schltdl.) Müll.Arg.,Psychotria beskeana
595520,Bauhinia bongardii Steudel,Bauhinia bongardii
595527,Warszewiczella candida (Lindl.) Rchb.f.,Warszewiczella candida
595528,Artanthe chavicoides Miq.,Artanthe chavicoides
595535,Calathea leucostachys Hook.f.,Calathea leucostachys
595872,Weinmannia hirtella Kunth.,Weinmannia hirtella
595874,Quiina decaisneana Planch. & Triana,Quiina decaisneana
595877,Ischnosiphon plurispicatus Körn.,Ischnosiphon plurispicatus
595878,Artanthe geniculata (Sw.) Miq.,Artanthe geniculata
595891,Peperomia salvaje C.DC.,Peperomia salvaje
595911,Urostigma fulvum Miquel,Urostigma fulvum
595914,Modiola lateritia (Hook.) K Schum,Modiola lateritia
595917,Datura arborea L.,Datura arborea
595918,Catasetum ×splendens Cogn.,Catasetum ×splendens
595919,Xylosma benthami (Tul.) Triana & Planch.,Xylosma benthami
595932,Peperomia reniformis Hook.,Peperomia reniformis
595933,Rhipsalis mesembrianthemoides Haw.,Rhipsalis mesembrianthemoides
595938,Olmedia calophylla Poeppig & Endlicher,Olmedia calophylla
595960,Rouhamon bredemeyeri (Schult.) A.DC.,Rouhamon bredemeyeri
595961,Podostemum chamissone Tul.,Podostemum chamissone
595964,Aspidosperma lhotzkianum Mül.Arg.,Aspidosperma lhotzkianum
595966,Artanthe japurensis Miq.,Artanthe japurensis
595981,Alloplectus sparsiflorus Mart.,Alloplectus sparsiflorus
595987,Polypodium decussatum L.,Polypodium decussatum
595988,Xylosma calophyllum Griseb. ex Eichler,Xylosma calophyllum
595989,Terminalia tomentosa Martius ex Eichler,Terminalia tomentosa
596002,Urera subpeltata Miq.,Urera subpeltata
596003,Rhipsalis myosurus (Salm.-Dyck) K.Schum.,Rhipsalis myosurus
596005,Salacia anomala (Miers) Peyr.,Salacia anomala
596008,Anchietea selloana Cham. & Schltdl.,Anchietea selloana
596011,Dicella holosericea  A. Juss.,Dicella holosericea
596016,Paepalanthus bongardi Ruhland,Paepalanthus bongardi
596018,Maclura aurantiaca Nutt.,Maclura aurantiaca
596063,Sphagnum erythrocalyx Hampe,Sphagnum erythrocalyx
596065,Celtis asperula Miq.,Celtis asperula
596143,Phaseolus obliquifolius Mart. ex Benth.,Phaseolus obliquifolius
596144,Cassia tephrosiaefolia Benth.,Cassia tephrosiaefolia
596147,Sorindeia simplicifolia (Kunth) Marchand,Sorindeia simplicifolia
596220,Bauhinia recurva Cowan,Bauhinia recurva
596223,Polypodium sporadocarpum Willd.,Polypodium sporadocarpum
596224,Brassia coriandra É.Morren,Brassia coriandra
596225,Convolvulus prolifer Vahl,Convolvulus prolifer
596228,Terminalia subsericea Eichler,Terminalia subsericea
596352,Ottonia riofeioana Trel.,Ottonia riofeioana
596353,Ischnosiphon surinamensis (Miq.) Körn.,Ischnosiphon surinamensis
596357,Trianosperma trilobata Cogn.,Trianosperma trilobata
596391,Ixora dixiana Gentil,Ixora dixiana
596393,Cassia drepanophylla Benth.,Cassia drepanophylla
596396,Inga vestita Benth.,Inga vestita
596399,Urostigma princeps Miquel,Urostigma princeps
596420,Echinopsis schelhasii Pfeiff. & Otto,Echinopsis schelhasii
596421,Struthanthus terniflorus (Willd. ex Schult. & Schult.f.) Eichler,Struthanthus terniflorus
596426,Malvastrum nudum K.Schum.,Malvastrum nudum
596427,Trianosperma gracillima Cogn.,Trianosperma gracillima
596429,Euterpe caribaea Spreng.,Euterpe caribaea
596430,Piper glabellum Sw.,Piper glabellum
596435,Herpestes divaricata J.A. Schmidt,Herpestes divaricata
596436,Cressa australis R. Br.,Cressa australis
596439,Gomeza crispa (Lindl.) Hoffmanns.,Gomeza crispa
596441,Artanthe gaudichaudiana (Kunth) Miq.,Artanthe gaudichaudiana
596442,Polypodium acrodontium Fée,Polypodium acrodontium
596445,Celtis crenata (Wedd.) Miq.,Celtis crenata
596447,Dipteracanthus incomtus Nees,Dipteracanthus incomtus
596449,Cleome stylosa Eichler,Cleome stylosa
596454,Olmedia guianensis (Aublet) Trécul,Olmedia guianensis
596459,Desmoncus macroacanthus Mart.,Desmoncus macroacanthus
